"","id","batch","batch_material","batch_materialnumber","batch_manufacturingdate","batch_process","batch_type","predecessor","predecessor_material","predecessor_materialnumber","predecessor_manufacturingdate","predecessor_process","predecessor_type","tree","comments"
"1",1,"7000000011","MI8POD14",NA,2020-06-03,NA,NA,"None",NA,NA,NA,NA,NA,"1",NA
"2",2,"7000000012","MI8POD14",NA,2020-06-03,NA,NA,"None",NA,NA,NA,NA,NA,"3",NA
"3",3,"7000000013","MI8POD14",NA,2020-06-04,NA,NA,"None",NA,NA,NA,NA,NA,"5",NA
"4",4,"7000000016","MI8POD08",NA,2020-06-12,NA,NA,"None",NA,NA,NA,NA,NA,"7",NA
"5",5,"7000000017","MI8POD08",NA,2020-06-12,NA,NA,"None",NA,NA,NA,NA,NA,"9",NA
"6",6,"7000000018","MI8POD08",NA,2020-06-12,NA,NA,"None",NA,NA,NA,NA,NA,"10",NA
"7",7,"7000000019","MI8POD08",NA,2020-06-12,NA,NA,"None",NA,NA,NA,NA,NA,"12",NA
"8",8,"7000000020","MI8POD08",NA,2020-06-16,NA,NA,"None",NA,NA,NA,NA,NA,"14",NA
"9",10,"7000000021","MI8POD08",NA,2020-06-17,NA,NA,"None",NA,NA,NA,NA,NA,"16",NA
"10",11,"7000000022","MI8POD08",NA,2020-06-17,NA,NA,"None",NA,NA,NA,NA,NA,"18",NA
"11",12,"7000000023","MI8POD08",NA,2020-06-18,NA,NA,"None",NA,NA,NA,NA,NA,"20",NA
"12",13,"7000000024","MI8POD14",NA,2020-08-07,NA,NA,"None",NA,NA,NA,NA,NA,"22",NA
"13",14,"7000000025","MI8POD14",NA,2020-08-10,NA,NA,"None",NA,NA,NA,NA,NA,"23",NA
"14",15,"7000000026","MI8POD14",NA,2020-08-10,NA,NA,"None",NA,NA,NA,NA,NA,"24",NA
"15",16,"7000000027","MI8POD14",NA,2020-08-10,NA,NA,"None",NA,NA,NA,NA,NA,"26",NA
"16",17,"7000000029","MI8POD08",NA,2020-08-12,NA,NA,"None",NA,NA,NA,NA,NA,"28",NA
"17",18,"7000000031","MI8POD08",NA,2020-08-13,NA,NA,"None",NA,NA,NA,NA,NA,"29",NA
"18",19,"7000000032","MI8POD08",NA,2020-08-13,NA,NA,"None",NA,NA,NA,NA,NA,"31",NA
"19",20,"7000000033","MI8POD14",NA,2020-08-21,"Coating",NA,"None",NA,NA,NA,NA,NA,"32",NA
"20",21,"7000000034","MI8POD14",NA,2020-08-24,"Coating",NA,"None",NA,NA,NA,NA,NA,"33",NA
"21",22,"7000000035","MI8POD14",NA,2020-08-18,"Coating",NA,"None",NA,NA,NA,NA,NA,"35",NA
"22",23,"7000000036","MI8POD14",NA,2020-08-25,NA,NA,"None",NA,NA,NA,NA,NA,"36",NA
"23",24,"7000000037","MI8POD14",NA,2020-08-26,NA,NA,"None",NA,NA,NA,NA,NA,"38",NA
"24",25,"7000000038","MI8POD14",NA,2020-08-28,NA,NA,"None",NA,NA,NA,NA,NA,"39",NA
"25",26,"7000000039","MI8POD14",NA,2020-09-01,NA,NA,"None",NA,NA,NA,NA,NA,"40",NA
"26",27,"7000000040","MI8POD14",NA,2020-09-03,NA,NA,"None",NA,NA,NA,NA,NA,"41",NA
"27",28,"7000000041","MI8POD14",NA,2020-09-01,NA,NA,"None",NA,NA,NA,NA,NA,"43",NA
"28",29,"7000000042","MI8POD14",NA,2020-08-21,NA,NA,"None",NA,NA,NA,NA,NA,"45",NA
"29",30,"7000000043","MI8POD14",NA,2020-08-21,NA,NA,"None",NA,NA,NA,NA,NA,"47",NA
"30",31,"7000000050","MI8POD14",NA,2020-08-30,NA,NA,"None",NA,NA,NA,NA,NA,"49",NA
"31",32,"7000000059","MI8POD08",NA,2020-09-10,NA,NA,"None",NA,NA,NA,NA,NA,"51",NA
"32",33,"7000000060","MI8POD08",NA,2020-09-11,NA,NA,"None",NA,NA,NA,NA,NA,"53",NA
"33",34,"7000000062","MI8POD04",NA,2020-09-09,NA,NA,"None",NA,NA,NA,NA,NA,"55",NA
"34",35,"7000000063","MI8POD04",NA,2020-09-09,NA,NA,"None",NA,NA,NA,NA,NA,"57",NA
"35",36,"7000000064","MI8POD08",NA,2020-09-11,NA,NA,"None",NA,NA,NA,NA,NA,"59",NA
"36",37,"7000000065","MI8POD08",NA,2020-09-11,NA,NA,"None",NA,NA,NA,NA,NA,"60",NA
"37",38,"7000000066","MI8POD14",NA,2020-09-15,NA,NA,"None",NA,NA,NA,NA,NA,"62",NA
"38",39,"7000000067","MI8POD14",NA,2020-09-15,NA,NA,"None",NA,NA,NA,NA,NA,"64",NA
"39",40,"7000000068","MI8POD14",NA,2020-09-16,NA,NA,"None",NA,NA,NA,NA,NA,"66",NA
"40",41,"7000000069","MI8POD14",NA,2020-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",42,"7000000070","MI8POD04",NA,2020-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",43,"7000000071","MI8POD04",NA,2020-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",44,"7000000072","MI8POD04",NA,2020-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",45,"7000000073","MI8POD04",NA,2020-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",46,"7000000074","MI8POD04",NA,2020-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",47,"7000000075","MI8POD04",NA,2020-09-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",48,"7000000076","MI8POD04",NA,2020-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",49,"7000000077","MI8POD04",NA,2020-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",50,"7000000087","MI8POD04",NA,2020-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",51,"7000000088","MI8POD04",NA,2020-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",52,"7000000089","MI8POD04",NA,2020-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",53,"7000000090","MI8POD04",NA,2020-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",54,"7000000091","MI8POD04",NA,2020-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",55,"7000000092","MI8POD04",NA,2020-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",56,"7000000093","MI8POD04",NA,2020-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",57,"7000000094","MI8POD08",NA,2020-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",58,"7000000095","MI8POD08",NA,2020-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",59,"7000000096","MI8POD08",NA,2020-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",60,"7000000097","MI8POD08",NA,2020-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",61,"7000000098","MI8POD08",NA,2020-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",62,"7000000099","MI8POD08",NA,2020-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",63,"7000000100","MI8POD08",NA,2020-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",64,"7000000101","MI8POD08",NA,2020-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",65,"7000000109","MI8POD14",NA,2020-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",66,"7000000110","MI8POD14",NA,2020-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",67,"7000000111","MI8POD14",NA,2020-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",68,"7000000112","MI8POD04",NA,2020-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
