"","id","batch","vmp_batch","predecessor","material_SAP","measure","measuredvalue","process","application","logged"
"1",1,"SLY 1709 ",NA,"6000011139",NA,"Malvern d10 Ausgangsprodukt",10.8,"Standard",NA,2022-02-15 15:09:00
"2",2,"SLY 1709 ",NA,"6000011139",NA,"Malvern d50 Ausgangsprodukt",22,"Standard",NA,2022-02-15 15:09:00
"3",3,"SLY 1709",NA,"6000011139",NA,"Malvern d90 Ausgangsprodukt",38.4,"Standard",NA,2022-02-15 15:09:00
"4",4,"SLY 1709",NA,"6000011139",NA,"Malvern span Ausgangsprodukt",1.25,"Standard",NA,2022-02-15 15:09:00
"5",5,"SLY 1709  ",NA,"6000011139",NA,"Malvern d10 nach Belegung",10.6,"Standard",NA,2022-02-15 15:09:00
"6",6,"SLY 1709 ",NA,"6000011139",NA,"Malvern d50 nach Belegung",20.9,"Standard",NA,2022-02-15 15:09:00
"7",7,"SLY 1709                      ",NA,"6000011139",NA,"Malvern d90 nach Belegung",36.7,"Standard",NA,2022-02-15 15:09:00
"8",8,"SLY 1709                      ",NA,"6000011139",NA,"Malvern span nach Belegung",1.25,"Standard",NA,2022-02-15 15:09:00
"9",9,"SLY 1709                      ",NA,"6000011139",NA,"Malvern dd10 nach Belegung",-0.2,"Standard",NA,2022-02-15 15:09:00
"10",10,"SLY 1709                      ",NA,"6000011139",NA,"Malvern dd50 nach Belegung",-1.1,"Standard",NA,2022-02-15 15:09:00
"11",11,"SLY 1709                      ",NA,"6000011139",NA,"Malvern dd90 nach Belegung",-1.7,"Standard",NA,2022-02-15 15:09:00
"12",12,"SLY 1709                      ",NA,"6000011139",NA,"Malvern d10 nach Sedimentation",10.7,"Standard",NA,2022-02-15 15:09:00
"13",13,"SLY 1709                      ",NA,"6000011139",NA,"Malvern d50 nach Sedimentation",21.1,"Standard",NA,2022-02-15 15:09:00
"14",14,"SLY 1709                      ",NA,"6000011139",NA,"Malvern d90 nach Sedimentation",37.2,"Standard",NA,2022-02-15 15:09:00
"15",15,"SLY 1709                      ",NA,"6000011139",NA,"Malvern span nach Sedimentation",1.26,"Standard",NA,2022-02-15 15:09:00
"16",16,"SLY 1709                      ",NA,"6000011139",NA,"Malvern dd10 nach Sedimentation",-0.1,"Standard",NA,2022-02-15 15:09:00
"17",17,"SLY 1709                      ",NA,"6000011139",NA,"Malvern dd50 nach Sedimentation",-0.9,"Standard",NA,2022-02-15 15:09:00
"18",18,"SLY 1709                      ",NA,"6000011139",NA,"Malvern dd90 nach Sedimentation",-1.2,"Standard",NA,2022-02-15 15:09:00
"19",19,"SLY 1709                      ",NA,NA,NA,NA,0,NA,NA,2022-02-15 15:11:00
"20",20,"SLY 1711                      ",NA,"6000011166",NA,"Malvern d10 Ausgangsprodukt",11.4,"Standard",NA,2022-02-15 15:17:00
"21",21,"SLY 1711                      ",NA,"6000011166",NA,"Malvern d50 Ausgangsprodukt",22.9,"Standard",NA,2022-02-15 15:17:00
"22",22,"SLY 1711                      ",NA,"6000011166",NA,"Malvern d90 Ausgangsprodukt",39.8,"Standard",NA,2022-02-15 15:17:00
"23",23,"SLY 1711                      ",NA,"6000011166",NA,"Malvern span Ausgangsprodukt",1.24,"Standard",NA,2022-02-15 15:17:00
"24",24,"SLY 1711                      ",NA,"6000011166",NA,"Malvern d10 nach Belegung",10.6,"Standard",NA,2022-02-15 15:17:00
"25",25,"SLY 1711                      ",NA,"6000011166",NA,"Malvern d50 nach Belegung",20.9,"Standard",NA,2022-02-15 15:17:00
"26",26,"SLY 1711                      ",NA,"6000011166",NA,"Malvern d90 nach Belegung",36.9,"Standard",NA,2022-02-15 15:17:00
"27",27,"SLY 1711                      ",NA,"6000011166",NA,"Malvern dd10 nach Belegung",-0.8,"Standard",NA,2022-02-15 15:17:00
"28",28,"SLY 1711                      ",NA,"6000011166",NA,"Malvern dd50 nach Belegung",-2,"Standard",NA,2022-02-15 15:17:00
