Block;Run;Comments;Temperature cooling drum;dry coat weight 8 passes;length of roll;Tochter;trimming;number of layers;U/W Ten. Average 8 layers;R/W Ten. Average 8 layers;boat power;Std.Abw. boat power;resistivity;wire feed rate;solid content of ink (release coat);normalized wire feed rate;cylinder;evaporation pressure;erwartete Qualitätsstufe;d10;d50;d90;span;release coat in final product;release coat / Oberfläche;Al(0);toluene (bath);Gloss 20°;Dullness;hiding dE110°;L*-15°;L*15°;L*25°;L*45°;L*75°;L*110°;a*-15°;a*15°;a*25°;a*45°;a*75;a*110°;b*-15°;b*15°;b*25°;b*45°;b*75°;b*110°;Flop;STEM average particle thickness;STEM T-span;particles < 12 nm;particles < 20 nm;particles > 35 nm;Rheology flow point;Rheology LVE area;yield in production;GC (foil) Aceton;GC (foil) Butanon;GC (foil) Toluol
Block 1;1;7-868/Bad 14-246/6-13109;-10;1.36;20000;Tochter1;nein;8;532;357;9.049;0.431;2.502;108.2;5.63;1.469;neu;0.003;1;10.3;22.2;38.2;1.257;6.1;1.848;70.4;;266.6;62.92;10.8;135;107.7;57.33;23.8;13.31;10.7;0.8;0;0.51;0.4;0.6;0.3;1.3;1.5;2.03;1.6;0.4;0.6;28.23;22.5;0.16;0.3;5.2;0.6;845;1675;;1.95;97.98;0.01
Block 1;2;7-867/Bad 13-228/6-13082;-10;1.32;40000;Tochter1;nein;8;531;356;9.308;0.558;2.502;111.9;5.63;1.467;neu;0.0031;2;10.2;22.7;39.9;1.308;6.46;;69.84;;230.5;63.92;8.3;139.5;110.9;60.02;25.8;14.86;12.3;0.7;0;0.59;0.4;0.57;0.3;1.9;2.1;2.28;1.5;0.44;0.8;26.81;22.4;0.14;0.7;6.5;0;857;2410;;5.02;94.55;0.02
Block 1;3;7-869;0;2.1;40000;Tochter1;nein;8;537.5;362;8.897;0.443;2.593;101.6;11.17;1.459;neu;0.0028;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 2;4;7-928/Bad 15-234/6-14139;0;1.23;40000;Tochter1;ja;8;540.6;356.3;8.745;0.451;2.5;103.1;5.64;1.435;neu;0.0024;2;11;23;39.3;1.23;4.6;;70.4;;253.49;62.32;12.58;136.19;107.23;57.45;23.74;13.14;10.66;0.82;0.28;0.69;0.51;0.69;0.4;2.73;2.53;2.54;1.75;0.53;0.88;28.18;22.6;0.13;0;1.05;1.74;1326.3;2502.6;;3.97;95.97;0.01
Block 2;5;7-929/Bad 16-245/6-14069;0;1.21;20000;Tochter1;ja;8;543.8;356.3;8.706;0.472;2.516;101.8;5.64;1.448;neu;0.0026;2;11;22.2;36.4;1.144;6.57;;69.05;;198.6;66.22;15.6;140.4;111.9;59.85;25.3;14.31;11.62;0.9;-0.2;0.36;0.3;0.44;0.2;0.9;1.4;1.84;1.5;0.28;0.5;27.8;22.6;0.16;0.3;5.5;1.83;486.9;1548.8;;1.97;97.73;0
Block 2;6;7-932/Bad 17-285/6-14140;-10;2.08;40000;Tochter1;ja;8;525;375;8.733;0.471;2.502;112.5;11.08;1.432;neu;0.0022;2;10.5;21.8;36.9;1.211;4.6;;70.89;;242.63;62.88;12.05;136.76;108.45;57.9;24;13.07;10.44;0.42;-0.05;0.47;0.33;0.62;0.26;1.65;1.78;1.81;1.36;0.53;0.78;28.38;21.8;0.15;0.4;7.38;3.69;1321.7;3586.8;;5;94.91;0.02
Block 2;7;7-930/Bad 15-233/6-13982;0;1.97;20000;Tochter1;ja;8;531.3;381.3;8.601;0.452;2.518;111.6;11.07;1.476;neu;0.0027;1;10.9;22.8;39.6;1.259;4.7;;70.7;;245.5;63.26;8.2;135.3;107.2;57.04;23.4;12.91;10.4;0.7;0.1;0.49;0.4;0.62;0.3;1.9;1.7;1.96;1.7;0.49;0.8;28.58;22.9;0.14;0;4.1;6.6;968.99;2514.4;;5.02;93.14;0.02
Block 2;8;7-931/Bad 17-284/6-13958;-10;2.14;20000;Tochter1;ja;8;531.3;381.3;8.504;0.443;2.516;110.5;11.07;1.438;neu;0.0029;2;10.9;22.5;38.9;1.244;5.5;;70.3;;251.8;62.54;7.5;134.8;106.5;57.06;24.1;13.25;10.5;0.8;0.2;0.53;0.4;0.64;0.3;2.3;2.1;1.8;1.3;0.59;0.8;27.68;22.5;0.18;0;5.5;5.5;1276.9;2439.4;;5.6;94.31;0.02
Block 4;9;7-867;-10;1.32;40000;Tochter2;nein;8;531;356;9.308;0.558;2.502;111.9;5.63;1.467;neu;0.0031;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.81;;;;;;;;;;;
Block 4;10;7-869;0;2.1;40000;Tochter2;nein;8;537.5;362;8.897;0.443;2.593;101.6;11.17;1.459;neu;0.0028;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 4;11;7-928/ Bad 17/286/ 6-14291;0;1.23;40000;Tochter2;ja;8;540.6;356.3;8.745;0.451;2.5;103.1;5.64;1.435;neu;0.0024;2;10.6;22.2;38.2;1.24;5.4;;71.4;;213.8;61.92;13.14;134.6;106.4;57.11;23.89;13.3;10.72;1.12;0.29;0.69;0.5;0.62;0.43;2.15;2.09;2.28;1.6;0.36;0.7;27.74;23.1;0.12;0;0.59;0.59;797.9;1183.4;;;;
Block 5;12;7-932/ Bad 15/235/ 6-14299;-10;2.08;40000;Tochter2;ja;8;525;375;8.733;0.471;2.502;112.5;11.08;1.432;neu;0.0022;2;10.8;22.8;39.6;1.26;5.7;;70.7;;203.1;63.44;10.91;136.52;108.15;57.73;23.84;13.08;10.51;0.78;0.08;0.5;0.42;0.6;0.28;1.84;1.63;1.88;1.59;0.44;0.72;28.42;22.58;0.17;0;6.28;8.52;818.7;2572.2;;;;
Block 2;13;7-933/ Bad 17/287/ 6-14446;0;1.86;40000;Tochter1;ja;8;540;381.3;8.802;0.391;2.502;111.8;8.54;1.426;alt;0.0027;;10.1;22.3;39.4;1.31;7.2;;69.3;;228.4;63.58;9.34;138.43;110.84;61.01;26.34;14.53;11.85;0.66;0.07;0.57;0.46;0.64;0.35;1.4;1.29;1.55;1.71;0.52;0.9;26.49;23.5;0.15;0;3.53;3.5;959.24;2378.2;;;;
Block 2;14;7-933;0;1.86;40000;Tochter2;ja;8;540;381.3;8.802;0.391;2.502;111.8;8.54;1.426;alt;0.0027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 2;15;7-934/ Bad 15/236/ 6-14510;0;1.82;40000;Tochter1;ja;8;540.6;378.1;8.921;0.541;2.502;112.2;8.48;1.423;alt;0.0026;;10.3;22.6;39.7;1.3;5.5;;70.3;;264.21;62.36;9.63;135.01;107.09;57.15;23.69;13.05;10.51;0.84;0.19;0.6;0.45;0.61;0.3;2.31;2.2;2.18;1.67;0.41;0.71;28.24;23.18;0.14;0;2.88;5.35;1469.4;3064.9;;;;
