"","id","batch","materialnumber","material","measurementdate","measurementtime","measuregroup","measure","measure_value","device","comment","origin","loggedOn"
"1",1,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","TGA-RD","Al(0) als AlN ",75.8,"Mettler TGA",NA,"measurement",NA
"2",2,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00",NA,"Alman-Index",21.99,"Byk MAC i 23mm",NA,"measurement",NA
"3",3,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","Laser Nass","d10",17.09,"Sympatec Helos Quixel",NA,"measurement",NA
"4",4,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","Laser Nass","d50",36.96,"Sympatec Helos Quixel",NA,"measurement",NA
"5",5,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","Laser Nass","d90",72.27,"Sympatec Helos Quixel",NA,"measurement",NA
"6",6,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00",NA,"dE* 45° ",56.68,"Byk MAC i 23mm",NA,"measurement",NA
"7",7,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","Ofenmethode","Festkörpergehalt",9.9,"",NA,"measurement",NA
"8",8,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","TGA-RD","Gehalt release coat ",8.26,"Mettler TGA",NA,"measurement",NA
"9",9,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","Rakelapplikation Papier Sonderlacksystem","Glanz 20° ",176,"Byk MAC i 23mm",NA,"measurement",NA
"10",10,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","Rakelapplikation Papier Sonderlacksystem","L* 110°",20.85,"Byk MAC i 23mm",NA,"measurement",NA
"11",11,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","Rakelapplikation Papier Sonderlacksystem","L* 15°",108.42,"Byk MAC i 23mm",NA,"measurement",NA
"12",12,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","Rakelapplikation Papier Sonderlacksystem","L* 45°",27.92,"Byk MAC i 23mm",NA,"measurement",NA
"13",13,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00",NA,"Mittlere Teilchendicke",23.46,"Zeiss Auriga 40 FIB/SEM",NA,"measurement",NA
"14",14,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","Laser Nass","span",1.49,"Sympatec Helos Quixel",NA,"measurement",NA
"15",15,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00",NA,"Speichermodul Fliessgrenze",64.81,"Anton Paar MCR 302",NA,"measurement",NA
"16",16,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00",NA,"Speichermodul LVE",423.81,"Anton Paar MCR 302",NA,"measurement",NA
"17",17,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","REM-Messung","t50%",23.47,"Zeiss Auriga 40 FIB/SEM",NA,"measurement",NA
"18",18,"6000006411",131279,"Decomet VP/13240 - GESPERRT",2020-05-25,"00:00:00","REM-Messung","t-span",0.2,"Zeiss Auriga 40 FIB/SEM",NA,"measurement",NA
